age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
23,15,4,135,384,0,30
28,10,3,1,0,0,1
39,24,5,532,593,553,22
29,12,3,23,46,19,1
23,7,2,17,8,2,2
53,23,5,333,521,755,0
27,3,2,7,9,24,1
37,24,5,320,486,31,22
44,21,6,350,331,893,13
43,22,5,12,5,2,2
48,20,4,0,1,0,0
28,7,3,3,289,3,3
35,23,5,391,0,0,21
24,15,4,37,451,0,14
34,10,4,55,226,37,6
24,24,5,333,769,65,21
46,27,6,316,427,4,18
50,27,6,132,416,75,15
49,24,5,196,385,175,2
41,27,6,470,432,826,16
32,28,6,187,373,360,12
45,20,4,146,372,68,19
50,27,6,303,332,14,0
29,6,3,21,143,90,2
46,26,6,305,348,2,14
21,11,3,21,315,16,2
44,28,6,327,334,2,12
36,24,5,13,336,4,2
48,27,6,319,330,521,15
54,26,6,133,324,10,0
42,17,4,14,229,53,6
49,26,6,231,328,60,20
48,20,5,2,295,1,12
34,27,6,470,325,1236,8
26,10,3,7,177,1,1
51,12,3,25,187,10,0
27,28,6,8,303,6,2
41,20,4,148,283,378,11
43,28,6,91,312,127,12
52,23,5,196,198,105,0
33,22,5,178,274,173,4
46,19,5,2,282,3,10
26,25,6,297,286,937,13
38,27,6,271,269,955,8
24,24,6,106,255,112,3
38,3,2,7,5,3,0
33,27,6,253,243,826,0
54,26,6,200,235,679,0
45,26,6,224,233,629,16
32,20,6,186,200,181,4
30,11,3,63,404,13,20
50,26,6,371,409,13,0
24,27,6,1137,1461,709,164
38,23,5,258,519,602,19
38,26,6,559,564,637,1
44,18,6,0,0,0,2
21,28,6,184,598,2,23
25,22,5,175,499,194,5
29,23,5,191,503,331,18
33,18,4,62,377,133,17
42,20,5,26,54,0,2
28,16,4,163,168,173,9
23,8,2,44,449,51,2
21,25,6,122,468,158,1
61,23,5,19,433,75,0
44,28,6,335,431,0,22
40,18,4,3,177,1,1
35,28,6,9,427,155,18
50,13,4,3,240,4,14
41,26,6,205,406,35,7
37,25,6,302,380,51,14
34,26,6,317,388,12,14
39,19,4,213,275,23,14
52,11,3,2,372,0,1
27,5,1,2,249,0,16
33,17,4,8,372,100,10
43,22,5,95,354,5,4
58,26,6,67,350,0,0
56,21,5,86,348,128,1
31,13,4,120,356,2,3
36,23,5,19,347,0,14
47,27,6,274,334,122,0
61,27,6,101,314,24,0
48,25,6,20,165,1,0
42,27,6,302,331,300,15
61,26,6,314,313,24,0
43,27,6,115,329,4,13
42,21,5,168,297,16,0
46,27,6,318,324,1341,0
58,28,6,324,314,1067,0
50,25,6,261,217,108,0
52,25,6,198,296,261,0
44,24,5,247,299,394,10
48,17,4,95,294,216,0
48,26,6,268,292,842,12
56,26,6,239,289,229,1
49,23,5,2,206,0,0
17,19,4,58,269,26,10
47,20,5,61,275,24,11
26,14,4,56,396,133,2
54,29,6,558,881,3,0
52,9,3,5,86,0,1
57,28,6,2,602,0,0
35,14,4,82,72,26,4
39,13,4,230,79,63,13
36,16,5,46,114,68,12
38,4,2,12,58,68,3
47,25,6,408,566,0,21
28,11,3,17,7,0,5
,15,5,0,28,0,0
51,25,6,9,502,4,6
35,27,6,603,404,486,18
48,28,6,608,764,187,9
37,19,5,315,402,531,14
34,9,4,3,51,0,6
22,27,6,316,449,427,29
35,21,5,108,366,89,1
34,27,6,391,420,466,15
51,24,5,37,420,18,1
50,25,6,7,382,15,0
46,8,2,2,213,0,8
49,25,6,172,390,12,0
37,17,5,263,388,11,11
63,28,6,398,374,1351,0
31,16,4,6,337,7,1
52,12,3,3,192,0,4
33,27,6,6,357,2,16
77,23,5,227,325,216,1
33,6,4,5,10,8,1
36,16,4,47,241,61,0
34,27,6,337,334,75,15
52,16,4,29,222,25,1
37,24,6,281,327,357,19
51,22,5,118,286,21,0
41,8,2,31,297,60,6
52,22,5,63,215,15,0
53,18,4,1,295,80,0
26,21,5,61,291,57,0
49,27,6,112,301,66,0
46,22,5,63,263,55,6
52,26,6,1,292,123,13
36,4,1,55,61,61,1
47,26,6,310,287,165,0
61,17,4,29,256,0,0
52,28,6,227,285,1365,0
30,25,6,127,266,120,12
34,27,6,265,244,247,0
26,15,4,59,214,62,4
56,9,2,6,88,6,0
29,17,5,246,384,254,9
29,24,6,209,557,283,7
31,14,3,99,326,85,12
39,10,3,12,350,0,1
63,26,6,724,613,31,0
37,28,6,480,435,1242,21
48,14,3,139,18,35,26
48,14,4,3,412,23,1
45,18,4,4,476,19,0
49,26,6,323,586,343,0
55,17,4,157,336,159,0
21,14,4,63,396,108,7
26,24,6,11,469,14,1
49,19,5,46,281,22,1
31,24,6,243,436,261,1
54,10,3,0,86,128,0
47,22,5,179,458,340,17
31,26,6,393,451,481,17
50,19,5,58,338,92,0
44,26,6,21,423,10,16
58,28,6,743,421,1141,1
30,18,4,68,249,36,1
32,17,5,109,234,38,1
21,7,2,46,379,30,7
28,14,3,49,229,171,8
41,25,6,80,353,21,15
37,20,5,4,338,13,17
35,27,6,446,359,879,12
28,18,4,76,350,27,5
53,10,2,7,339,9,1
48,17,4,87,342,2,16
44,27,6,314,334,323,4
52,28,6,677,336,1179,1
34,4,2,46,20,47,1
34,19,4,12,151,86,12
37,21,5,143,330,459,8
67,26,6,9,288,1,0
52,15,3,7,307,14,0
23,24,5,41,296,48,10
48,27,6,308,293,0,12
51,13,3,60,296,150,2
53,27,6,448,236,0,0
26,16,4,180,192,26,9
48,24,6,34,299,38,2
36,22,5,269,250,706,8
45,18,5,38,243,104,0
32,18,4,196,283,123,5
50,25,6,80,283,956,12
29,12,3,114,202,89,1
