token,age,sex_name,onbo_complete,install_type,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
3bd063c77ec6fd7c8a368fbd472fe354112fd08c0b38f2682f4d0894e76d9183,23,女性,2017-03,FacebookAds,15,4,135,384,0,30
f8636b95f44be92a070c5c7409c1259e0f2292ae19e1a359090342359cb20910,28,女性,2017-06,招待リンク,10,3,1,0,0,1
ce8c913140261a184553569fc175172779c45db71763896fc375564a67ad5117,39,女性,2017-06,招待リンク,24,5,532,593,553,22
95c8342053c8965368aa54881c751abf4a4c5b408a5db9745dfbb10b4684288a,29,女性,2017-08,招待リンク,12,3,23,46,19,1
753a882f901542fce85755abf287a7c9922bb0eada06f34703ae9c7b8787e2e5,23,女性,2017-08,Instagram,7,2,17,8,2,2
c99dc9edc6b79633c0c9d46dfaa6e6b5ae0e4a8ad646e0b6b2b0db14c57443f4,53,男性,2017-08,Organic,23,5,333,521,755,0
4f9dd9447d1c704161e3962a060fa551a555aa04e069266cd46ef0d010755a0d,27,女性,2017-09,Twitter,3,2,7,9,24,1
ee94eae116cee68278aa2e3c153dc7a9af03a456053df1c47242fb894db6d62b,37,女性,2017-09,mtburn_int,24,5,320,486,31,22
31ed3d3dea07439a3c7fc2aaea55b3538b6aab658c0c0a634c6aab8a5a2670a8,44,女性,2017-10,Twitter,21,6,350,331,893,13
3e77bd0e88227331207739611876cae6a494f06a6b56d0700715d32cbe4f03d9,43,女性,2018-01,Organic,22,5,12,5,2,2
49415631ecb2614aa5638642a9d45052ad3a91ca4c03d2422f8ba414ebf63cfe,48,女性,2018-02,Organic,20,4,0,1,0,0
31643d02e152c74d13a11946ea835c50d38f357bae8eff2f6bfb2e634603260b,28,女性,2018-04,Organic,7,3,3,289,3,3
c4878cc4d859d98ab3e1183687e09d7ff9385ab1fa2619d9d5d89abc0470db7e,35,女性,2018-04,Organic,23,5,391,0,0,21
58bd9b007fa6dec3699982f825985868f3a836cfaa3b4ed9a6822be88ff19fda,24,女性,2018-04,Organic,15,4,37,451,0,14
690f88bad7818094c2e25ee34fd7fd7746d7812a593fadc0a10163553ca5494e,34,女性,2018-04,applovin_int,10,4,55,226,37,6
2ad33a479eb60fa3c2d1d5cf767026262e0da20b35a61e87fa99f3643c1c86f7,24,女性,2018-05,Organic,24,5,333,769,65,21
acbd5b7d486f677c8c87de9f4af78bfc389f4dd3139ae53f75fb0ff0df607abd,46,女性,2018-06,Organic,27,6,316,427,4,18
43df1f63dfe6d76ee7c13b1065b7dad4dcbf3ef5d750046ab62825530d3f12ff,50,女性,2018-06,adcolony_int,27,6,132,416,75,15
09d315c4a6f41a197294c9dd0194e9cbb965b6c782bf2264b6f7bf2f2679481c,49,女性,2018-07,imcplanning_int,24,5,196,385,175,2
81335caa6c79259ac0c23ee53d55d1625836ed2e9577486ce40ba6ade5a38d60,41,女性,2018-07,smartnews,27,6,470,432,826,16
0c202848006fac8aa065aa0df3e599746d600202d9c747e81d2da56878414603,32,女性,2018-08,招待リンク,28,6,187,373,360,12
73503941981adb371b4ef3be169ad26c320a20da9da68c452f4900192fd2fad8,45,女性,2018-08,smartc_int,20,4,146,372,68,19
7813c91986e2de3471b10c79323675cb964d469503520d5c3a6203f4c53c133c,50,男性,2018-08,smartc_int,27,6,303,332,14,0
a4820a1f4584513753fc15522f208afea4974562042c2b9042759900943441fd,29,女性,2018-08,Organic,6,3,21,143,90,2
ef5c028ff9debc12b4b31e0fe5bbfd3a90f37a352811591df14c68bbf6244cf8,46,女性,2018-08,googleadwords_int,26,6,305,348,2,14
2c86b6d9cc93b9944ef48bdbb3855602f25ae3b68b810daab77f1d6740481e58,21,女性,2018-09,Organic,11,3,21,315,16,2
515ff5badd8c9843b4a5832961a924ac1791af9d4431d8bc9d2d7362a61474de,44,女性,2018-09,tokucha,28,6,327,334,2,12
06f2b6d373d34d6ac3337f80aa74fc0cbdc211f9883a97179705d9387367d446,36,女性,2018-09,Organic,24,5,13,336,4,2
6f0230a8944d0853e76a8113bcff8ebcd4148f4db87a3e6ce061c0daad562598,48,女性,2018-09,招待リンク,27,6,319,330,521,15
542654022ae83b8a6a8b6e5340b20319a1d13708fdbd0debc658323047f66e29,54,女性,2018-09,tokucha,26,6,133,324,10,0
b60924b5a7ca9c91c08effe9a19310e25e9d955a4a3e19e1a98a126e92611605,42,女性,2018-09,applovin_int,17,4,14,229,53,6
a867fc1d615ab4de32bbf5f5a3f0f5026a871b40d9964d5b88f4ff30d30c49fe,49,女性,2018-09,tokucha,26,6,231,328,60,20
87d29317815cedfd72ec64603c73ce66d006d0be40f914154c8087378b8e6736,48,女性,2018-09,Organic,20,5,2,295,1,12
5ab857f699ae9b8709eadaea8e1fa42310852285411c66ad29a22f93ebf1645c,34,女性,2018-09,googleadwords_int,27,6,470,325,1236,8
03880bf4b9d959b64419015646c44dfb26bbad6d32f25f68ab0b778e8be8ccee,26,女性,2018-09,Organic,10,3,7,177,1,1
b895c676b87cbe00f8eb4a2605da78c322baed7df6a3527d1b0b551d4635302d,51,男性,2018-10,tokucha,12,3,25,187,10,0
3dd0499b738b771237c81e140d2dee0eec2b65ab7018ab408369512f3063ac21,27,女性,2018-10,tokucha,28,6,8,303,6,2
b24f14b343f8c77b51a90e0531eaf38c3ab25671d82b5f0bf440c0656c5022ca,41,女性,2018-10,tokucha,20,4,148,283,378,11
d17a0c2d0542540c5919bad07cec06d880af1a0724bf2fd17f1a420a8b602b84,43,女性,2018-10,tokucha,28,6,91,312,127,12
ae799e819b8db031297436df5665070d7230d56ede8d5628107a2e284b26ae10,52,男性,2018-10,tokucha,23,5,196,198,105,0
b70bf57f1cad1f5ccbe46106d7636a3f5d10c8062cddb9f87d142580008a8fc9,33,女性,2018-10,googleadwords_int,22,5,178,274,173,4
301d3620e8cc87b3a649d1c2c49b9ddf6899f80c7d6eb8dbe1f0af6508c3d0e3,46,女性,2018-10,Instagram,19,5,2,282,3,10
205b9d008338d5cd2543b6f923186d72078ef041b7f585b1215de9577e810573,26,女性,2018-10,Organic,25,6,297,286,937,13
6c43a7043d23a8503a63b9c6f169ebc4a20d440320703beea4a4ff1f885f850c,38,女性,2018-11,Organic,27,6,271,269,955,8
f72f8c49c198259af270f5a92cd43a9bea2d1d47e7c48ee8761486458bb3ee2e,24,女性,2018-11,Organic,24,6,106,255,112,3
efc9a1363202181e2a7e147953b6403eb73995fb006d4e3e9f2de6a24d08e824,38,女性,2018-11,taptica_int,3,2,7,5,3,0
f1aa6643932782c4f2372d6ffef99b7da3d71aae894387ba3d158e86c0938e01,33,男性,2018-12,Organic,27,6,253,243,826,0
aa359dc24eb5feb8e0cd7a282b2bc049db2b7b5743052684d2b5a5f658695f36,54,男性,2018-12,dotgames_int,26,6,200,235,679,0
a1ae4add2153724b3db3a05a40efa74eedc61a9ac72de626629eeadd2e8aaf49,45,女性,2018-12,Organic,26,6,224,233,629,16
76ec116aeaaad79abc7e335f312081ca80d3b254686d4f9bed9ffed7a229a272,32,女性,2017-03,Organic,20,6,186,200,181,4
4a940229f39fd0727ab4707ac75a9c434ebc2d0061173c22bcbd1cc4c70204ac,30,女性,2017-04,FacebookAds,11,3,63,404,13,20
da1b1b016e50b285b0e84f81f741389b48fa200f2e949d2d958f0a2b7d2b7fe3,50,女性,2017-05,Organic,26,6,371,409,13,0
a13cf329bdc1ea5de4df77e123a41da8e9ade801e313ff5031ed0d034b8c4a06,24,女性,2017-06,Organic,27,6,1137,1461,709,164
f89770d6db266e64d8f06516731f129a126dca8c11ae648bbe5a683a9764db70,38,女性,2017-08,Organic,23,5,258,519,602,19
afd385c105cf91e021ca78795dd089d9506351782ceed0cf1b9f9c4bea29e389,38,女性,2017-09,FacebookAds,26,6,559,564,637,1
a30ba7e86524eb3bca2e53025977299d106453b0b6d9f2e9b7179ea8bf95087a,44,女性,,Apple Search Ads,18,6,0,0,0,2
11bbfbd38a81eed230c6e5d8add1d0a67b343a0788dd141b07f312b4610bef5a,21,女性,2017-12,Organic,28,6,184,598,2,23
12ac84a78a20dac7894d64b63a368f35ae04c9b4c8f883f7365c6a3ae762779a,25,女性,2018-03,googleadwords_int,22,5,175,499,194,5
2484631ef50097105b8559db5fdf93b3721ee62e0747a432dce0a0da60ff00c7,29,女性,2018-03,Organic,23,5,191,503,331,18
1a45e81844125ffdd901c973cee28a8aaa7979ae512ab51b181b4c6fb366908f,33,女性,2018-04,Organic,18,4,62,377,133,17
a23d560af74dd47d62e804c02a6f23f40643426c16f8e0c5bb61dc139b9174c9,42,女性,2018-04,Instagram,20,5,26,54,0,2
2bf88d75f4ccbddbdfdcc343d4349a4e19c4bd027d967a82da8e54ba707df1bc,28,女性,2018-05,Organic,16,4,163,168,173,9
fa1bdcf5b0efaea7e75b20f8038564dd0f9528aa303bda57358c8e298d0c35c0,23,女性,2018-05,applovin_int,8,2,44,449,51,2
a6d1d3169c7ccd24ff935d2e5224ec022a17efa03dc3c57cf7b03c93ce4f11ae,21,女性,2018-05,Organic,25,6,122,468,158,1
1f07ec28730857477494f180035eb715d657ac541817c9ab318c53d0cacd7808,61,女性,2018-05,Organic,23,5,19,433,75,0
3f2db78d62bcce08a15deadf9dd0343154fd070f8ea51e6f5712489944e03a45,44,女性,2018-06,Organic,28,6,335,431,0,22
0978e079c9837a821218a4d132fdb34f6cb9d895fa483a162803f6d0a122fb21,40,女性,2018-06,Organic,18,4,3,177,1,1
